"kieskring","partij","nummer","naam kandidaat","voorletters","voornaam","gender","woonplaats"
"Groningen","VVD","1","Rutte","M.","Mark","m","'s-Gravenhage"
"Groningen","VVD","2","Hennis-Plasschaert","J.A.","Jeanine","v","Nederhorst den Berg"
"Groningen","VVD","3","Zijlstra","H.","Halbe","m","Wassenaar"
"Groningen","VVD","4","van Ark","T.","Tamara","v","Nieuwerkerk aan den IJssel"
"Groningen","VVD","5","Dijkhoff","K.H.D.M.","Klaas","m","Breda"
"Groningen","VVD","6","Dekker","S.","Sander","m","'s-Gravenhage"
"Groningen","VVD","7","Visser","B.","Barbara","v","Zaanstad"
"Groningen","VVD","8","Harbers","M.G.J.","Mark","m","Rotterdam"
"Groningen","VVD","9","ten Broeke","J.H.","Han","m","Hof van Twente"
"Groningen","VVD","10","Azmani","M.","Malik","m","Dalfsen"
"Groningen","VVD","11","Wiersma","A.D.","Dennis","m","Utrecht"
"Groningen","VVD","12","Lodders","W.J.H.","Helma","v","Zeewolde"
"Groningen","VVD","13","van 't Wout","B.","Bas","m","Hoeven"
"Groningen","VVD","14","Becker","B.","Bente","v","'s-Gravenhage"
"Groningen","VVD","15","Duisenberg","P.J.","Pieter","m","'s-Gravenhage"
"Groningen","VVD","16","Hermans","S.T.M.","Sophie","v","Amsterdam"
"Groningen","VVD","17","Mulder","A.","Anne","m","'s-Gravenhage"
"Groningen","VVD","18","de Vries","A.","Aukje","v","Leeuwarden"
"Groningen","VVD","19","Yeşilgöz-Zegerius","D.","Dilan","v","Amsterdam"
"Groningen","VVD","20","Rutte","A.C.L.","Arno","m","Groningen"
"Groningen","VVD","21","Tellegen","O.C.","Ockje","v","'s-Gravenhage"
"Groningen","VVD","22","Koerhuis","D.A.N.","Daniel","m","Tervuren (BE)"
"Groningen","VVD","23","Ziengs","E.","Erik","m","Assen"
"Groningen","VVD","24","Bosman","A.","André","m","Middelburg"
"Groningen","VVD","25","van den Bosch","A.","Albert","m","Zaltbommel"
"Groningen","VVD","26","El Yassini","Z.","Zohair","m","Utrecht"
"Groningen","VVD","27","Dijkstra","R.J.","Remco","m","Lienden"
"Groningen","VVD","28","Wörsdörfer","M.","Martin","m","'s-Gravenhage"
"Groningen","VVD","29","Weverling","A.","Arne","m","Naaldwijk"
"Groningen","VVD","30","Nijkerken-de Haan","C.N.A.","Chantal","v","Schinveld"
"Groningen","VVD","31","Potters","S.C.C.M.","Sjoerd","m","Waalwijk"
"Groningen","VVD","32","van Oosten","F.","Foort","m","Schiedam"
"Groningen","VVD","33","Koopmans","S.M.G.","Sven","m","Hoofddorp"
"Groningen","VVD","34","Middendorp","J.","Jan","m","Amsterdam"
"Groningen","VVD","35","van der Linde","R.E.","Roald","m","Rotterdam"
"Groningen","VVD","36","van Keulen","J.M.","Joost","m","Groningen"
"Groningen","VVD","37","Laan-Geselschap","A.J.M.","Antoinette","v","Rotterdam"
"Groningen","VVD","38","Tielen","J.Z.C.M.","Judith","v","Utrecht"
"Groningen","VVD","39","Veldman","H.S.","Hayke","m","Nijmegen"
"Groningen","VVD","40","Heerema","R.J.","Rudmer","m","Alkmaar"
"Groningen","VVD","41","van Haga","W.R.","Wybren","m","Haarlem"
"Groningen","VVD","42","de Lange","L.A.","Leendert","m","Noordwijk"
"Groningen","VVD","43","van Gent","T.","Tobias","m","Middelburg"
"Groningen","VVD","44","de Veth","A.A.","Jeroen","m","'s-Gravenhage"
"Groningen","VVD","45","Van Wijngaarden","J.","Jeroen","m","Amsterdam"
"Groningen","VVD","46","Aartsen","A.A.","Thierry","m","Breda"
"Groningen","VVD","47","Regterschot","K.","Kelly","v","Landgraaf"
"Groningen","VVD","48","Smals","B.M.G.","Bart","m","Delft"
"Groningen","VVD","49","Pauwels-Paauw","M.S.","Mirjam","v","Ruinen"
"Groningen","VVD","50","Bolkestein","M.N.","Martijn","m","Aerdenhout"
"Groningen","VVD","51","Snoeren","M.A.J.","Mark","m","Nieuwegein"
"Groningen","VVD","52","Heemskerk","J.J.","Jacco","m","Bussum"
"Groningen","VVD","53","Tönjann-Levert","W.E.","Wendelien","v","Oegstgeest"
"Groningen","VVD","54","van Rijn","R.K.","Robert","m","Aalsmeer"
"Groningen","VVD","55","de Reus","J.","Jan","m","Lelystad"
"Groningen","VVD","56","Dral","R.M.","Rosemarijn","v","Oostzaan"
"Groningen","VVD","57","Korting","I.A.","Irene","v","Swifterbant"
"Groningen","VVD","58","Arends-Drijver","K.","Kathy","v","Bergschenhoek"
"Groningen","VVD","59","Lock","K.P.","Krijn","m","Enschede"
"Groningen","VVD","60","Hoekstra","F.","Falco","m","Heerhugowaard"
"Groningen","VVD","61","van Schie","A.G.","André","m","Utrecht"
"Groningen","VVD","62","Struijlaart","E.","Erik","m","Purmerend"
"Groningen","VVD","63","Haseloop-Amsing","T.H.","Tanja","v","Leek"
"Groningen","VVD","64","Jacobs","B.","Barry","m","Bergen op Zoom"
"Groningen","VVD","65","Elbertsen","J.","Jenny","v","Apeldoorn"
"Groningen","VVD","66","van Dijk","S.","Saskia","v","IJsselstein"
"Groningen","VVD","67","Mos","J.","Jasper","m","Dordrecht"
"Groningen","VVD","68","Böcker","B.M.","Linda","v","Delft"
"Groningen","VVD","69","de Rijk","R.H.","Roeland","m","Moskou (RU)"
"Groningen","VVD","70","Welter","Y.","Yvonne","v","Abcoude"
"Groningen","VVD","71","Derks","N.G.","Nick","m","Wijchen"
"Groningen","VVD","72","Joziasse","M.","Miranda","v","Almere"
"Groningen","VVD","73","Bevers","H.","Harry","m","Leeuwarden"
"Groningen","VVD","74","Prins","A.J.","Anja","v","Apeldoorn"
"Groningen","VVD","75","Huisman-Peelen","H.","Hennie","v","Texel"
"Groningen","VVD","76","Bonnevits-de Jong","L.","Laurine","v","Berkel en Rodenrijs"
"Groningen","VVD","77","Lochtenberg","D.S.K.","Dylan","m","Veenendaal"
"Groningen","VVD","78","Larson","C.R.","Crys","v","Ouderkerk aan de Amstel"
"Groningen","VVD","79","Zevenbergen","E.F.A.","Frederik","m","Leiden"
"Groningen","VVD","80","van der Weijden","M.","Maarten","m","Waspik"
"Groningen","Partij van de Arbeid (P.v.d.A.)","1","Asscher","L.F.","Lodewijk","m","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","2","Arib","K.","Khadija","v","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","3","Dijsselbloem","J.R.V.A.","Jeroen","m","Wageningen"
"Groningen","Partij van de Arbeid (P.v.d.A.)","4","Dijksma","S.A.M.","Sharon","v","Enschede"
"Groningen","Partij van de Arbeid (P.v.d.A.)","5","van Dijk","G.J.","Gijs","m","Den Burg"
"Groningen","Partij van de Arbeid (P.v.d.A.)","6","Kuiken","A.H.","Attje","v","Breda"
"Groningen","Partij van de Arbeid (P.v.d.A.)","7","Nijboer","H.","Henk","m","Groningen"
"Groningen","Partij van de Arbeid (P.v.d.A.)","8","van den Hul","K.A.E.","Kirsten","v","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","9","Moorlag","W.J.","William","m","Winsum"
"Groningen","Partij van de Arbeid (P.v.d.A.)","10","Ploumen","E.M.J.","Lilianne","v","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","11","Kerstens","J.W.M.","John","m","Arnhem"
"Groningen","Partij van de Arbeid (P.v.d.A.)","12","de Kock","J.C.M.","Joke","v","Terheijden"
"Groningen","Partij van de Arbeid (P.v.d.A.)","13","Marcouch","A.","Ahmed","m","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","14","Volp","M.J.","Marith","v","Haarlem"
"Groningen","Partij van de Arbeid (P.v.d.A.)","15","Moti","R.","Richard","m","Rotterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","16","Yücel","K.","Keklik","v","Deventer"
"Groningen","Partij van de Arbeid (P.v.d.A.)","17","Servaes","M.","Michiel","m","Voorburg"
"Groningen","Partij van de Arbeid (P.v.d.A.)","18","Bozkurt","E.","Emine","v","Zaandam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","19","van der Linde","I.M.","Ilco","m","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","20","Oosterbaan","C.","Christa","v","West-Terschelling"
"Groningen","Partij van de Arbeid (P.v.d.A.)","21","Mohandis","M.","Mohammed","m","Gouda"
"Groningen","Partij van de Arbeid (P.v.d.A.)","22","Ypma","L.","Loes","v","Woerden"
"Groningen","Partij van de Arbeid (P.v.d.A.)","23","Recourt","J.","Jeroen","m","Haarlem"
"Groningen","Partij van de Arbeid (P.v.d.A.)","24","Maij","M.E.","Marit","v","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","25","de Kort","M.V.","Martijn","m","Vught"
"Groningen","Partij van de Arbeid (P.v.d.A.)","26","Roopram","R.D.","Reshma","v","Barendrecht"
"Groningen","Partij van de Arbeid (P.v.d.A.)","27","Hoogland","D.","Duco","m","Rotterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","28","Schellekens","G.M.M.","Giselle","v","Nijmegen"
"Groningen","Partij van de Arbeid (P.v.d.A.)","29","de Vries","A.A.","Albert","m","Middelburg"
"Groningen","Partij van de Arbeid (P.v.d.A.)","30","Biemans","M.S.","Mirthe","v","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","31","Brouwer","H.","Harm","m","Eelderwolde"
"Groningen","Partij van de Arbeid (P.v.d.A.)","32","Vos","M.L.","Mei Li","v","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","33","Reinaerts","J.L.H.","Joost","m","Heerlen"
"Groningen","Partij van de Arbeid (P.v.d.A.)","34","Dibi","B.","Bouchra","v","Utrecht"
"Groningen","Partij van de Arbeid (P.v.d.A.)","35","van Drooge","S.W.","Bas","m","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","36","Asante","A.A.","Amma","v","Badhoevedorp"
"Groningen","Partij van de Arbeid (P.v.d.A.)","37","Ünver","E.","Emre","m","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","38","Vermue","J.G.P.","Joyce","v","Schoondijke"
"Groningen","Partij van de Arbeid (P.v.d.A.)","39","van Dekken","T.R.","Tjeerd","m","Groningen"
"Groningen","Partij van de Arbeid (P.v.d.A.)","40","Hedin-Penninx","A.","Anna-Lena","v","Silvolde"
"Groningen","Partij van de Arbeid (P.v.d.A.)","41","Deen","B.","Bob","m","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","42","Vorselman-Derksen","C.H.W.J.","Cindy","v","Assen"
"Groningen","Partij van de Arbeid (P.v.d.A.)","43","Pentenga","F.","Erik","m","Spaarndam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","44","van den Boogaard","A.","Anna","v","Leiden"
"Groningen","Partij van de Arbeid (P.v.d.A.)","45","van Laar","R.P.","Roelof","m","Oegstgeest"
"Groningen","Partij van de Arbeid (P.v.d.A.)","46","Schrofer","T.T.","Tamar","v","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","47","van Houwelingen","H.E.F.","Heino","m","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","48","Mulder","M.A.","Marinka","v","Culemborg"
"Groningen","Partij van de Arbeid (P.v.d.A.)","49","Bolhuis","W.D.","Wimar","m","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","50","Günal-Gezer","S.","Sultan","v","Uden"
"Groningen","Partij van de Arbeid (P.v.d.A.)","51","Staal","J.J.","Jelmer","m","Leeuwarden"
"Groningen","Partij van de Arbeid (P.v.d.A.)","52","Boot","E.","Els","v","Rotterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","53","Chahim","M.","Mohammed","m","Helmond"
"Groningen","Partij van de Arbeid (P.v.d.A.)","54","Koenders","P.T.C.","Petra","v","Breda"
"Groningen","Partij van de Arbeid (P.v.d.A.)","55","Breederveld","R.","Roy","m","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","56","Menenti","L.M.E.","Laura","v","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","57","van de Burgt","R.H.M.","Richard","m","Geldrop"
"Groningen","Partij van de Arbeid (P.v.d.A.)","58","Repetur","M.E.","Lou","v","Utrecht"
"Groningen","Partij van de Arbeid (P.v.d.A.)","59","Akrouh","S.","Saami","m","Hilversum"
"Groningen","Partij van de Arbeid (P.v.d.A.)","60","Engbers","A.H.M.G.","Anita","v","Gouda"
"Groningen","Partij van de Arbeid (P.v.d.A.)","61","Ronnes","T.L.","Thomas","m","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","62","Wijntuin","P.M.","Peggy","v","Rotterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","63","Brouwers","L.W.L.","Luc","m","Milsbeek"
"Groningen","Partij van de Arbeid (P.v.d.A.)","64","van Zantvoort","A.H.G.","Anja","v","Zoetermeer"
"Groningen","Partij van de Arbeid (P.v.d.A.)","65","Cohen","F.","Fred","m","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","66","Dankert","A.T.","Anne","v","'s-Gravenhage"
"Groningen","Partij van de Arbeid (P.v.d.A.)","67","Bouteibi","H.","Hafid","m","Eindhoven"
"Groningen","Partij van de Arbeid (P.v.d.A.)","68","Voigt","I.","Ivonne","v","Venray"
"Groningen","Partij van de Arbeid (P.v.d.A.)","69","Schuurman Hess","J.N.","Jan","m","Kats"
"Groningen","Partij van de Arbeid (P.v.d.A.)","70","Klomp","B.C.D.","Denise","v","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","71","Keizer","H.M.","Marco","m","Drachten"
"Groningen","Partij van de Arbeid (P.v.d.A.)","72","Houben","T.A.H.","Tirza","v","Roermond"
"Groningen","Partij van de Arbeid (P.v.d.A.)","73","van 't Zelfde","E.R.M.","Eric","m","Schiedam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","74","Doevendans","S.S.","Sandra","v","Amsterdam"
"Groningen","Partij van de Arbeid (P.v.d.A.)","75","de Haan","F.G.","Foppe","m","Nes"
"Groningen","Partij van de Arbeid (P.v.d.A.)","76","Bloemhoff","C.E.","Carine","v","Groningen"
"Groningen","Partij van de Arbeid (P.v.d.A.)","77","van de Kolk","J.W.","Jan-Willem","m","Stadskanaal"
"Groningen","Partij van de Arbeid (P.v.d.A.)","78","Broekhuizen-Smit","L.K.","Laura","v","Winschoten"
"Groningen","Partij van de Arbeid (P.v.d.A.)","79","Plandsoen","B.","Ben","m","Leek"
"Groningen","Partij van de Arbeid (P.v.d.A.)","80","Schollema","B.","Bé","m","Groningen"
"Groningen","PVV (Partij voor de Vrijheid)","1","Wilders","G.","Geert","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","2","Agema","M.","Fleur","v","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","3","Maeijer","V.","Vicky","v","Krimpen aan den IJssel"
"Groningen","PVV (Partij voor de Vrijheid)","4","Markuszower","G.","Gidi","m","Amstelveen"
"Groningen","PVV (Partij voor de Vrijheid)","5","Fritsma","S.R.","Sietse","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","6","Bosma","M.","Martin","m","Amsterdam"
"Groningen","PVV (Partij voor de Vrijheid)","7","Madlener","B.","Barry","m","Rockanje"
"Groningen","PVV (Partij voor de Vrijheid)","8","van Dijck","A.P.C.","Teun","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","9","Helder","L.M.J.S.","Lilian","v","Venlo"
"Groningen","PVV (Partij voor de Vrijheid)","10","Beertema","H.J.","Harm","m","Voorburg"
"Groningen","PVV (Partij voor de Vrijheid)","11","de Graaf","M.","Machiel","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","12","Graus","D.J.G.","Dion","m","Heerlen"
"Groningen","PVV (Partij voor de Vrijheid)","13","de Roon","R.","Raymond","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","14","van Weerdenburg","V.D.D.","Danai","v","Amstelveen"
"Groningen","PVV (Partij voor de Vrijheid)","15","Mulder","E.","Edgar","m","Zwolle"
"Groningen","PVV (Partij voor de Vrijheid)","16","Gerbrands","K.","Karen","v","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","17","de Jong","L.W.E.","Léon","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","18","Popken","G.J.F.","Gabriëlle","v","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","19","Kops","A.","Alexander","m","Nijmegen"
"Groningen","PVV (Partij voor de Vrijheid)","20","van Aalst","R.R.","Roy","m","Hengelo"
"Groningen","PVV (Partij voor de Vrijheid)","21","van Dijk","E.","Emiel","m","Gilze"
"Groningen","PVV (Partij voor de Vrijheid)","22","Housmans","R.W.P.E.","Robert","m","Born"
"Groningen","PVV (Partij voor de Vrijheid)","23","Jansen","C.A.","Chris","m","Almere"
"Groningen","PVV (Partij voor de Vrijheid)","24","de Vree","J.H.","Henk","m","Hardinxveld-Giessendam"
"Groningen","PVV (Partij voor de Vrijheid)","25","Aardema","M.","Max","m","Drachten"
"Groningen","PVV (Partij voor de Vrijheid)","26","van Dijk","A.J.A.","Toon","m","Almere"
"Groningen","PVV (Partij voor de Vrijheid)","27","de Winter","D.","Daniëlle","v","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","28","Bezaan","I.A.","Ilse","v","Blaricum"
"Groningen","PVV (Partij voor de Vrijheid)","29","Kardol","J.C.","Joyce","v","Helmond"
"Groningen","PVV (Partij voor de Vrijheid)","30","Vlottes","E.","Elmar","m","Apeldoorn"
"Groningen","PVV (Partij voor de Vrijheid)","31","de Jong","R.G.J.","Rob","m","Haarlem"
"Groningen","PVV (Partij voor de Vrijheid)","32","van Pijkeren","J.","An","v","Bunschoten-Spakenburg"
"Groningen","PVV (Partij voor de Vrijheid)","33","Rijken","J.J.","Jeffrey","m","Pernis Rotterdam"
"Groningen","PVV (Partij voor de Vrijheid)","34","IJssennagger","H.","Han","m","Bilthoven"
"Groningen","PVV (Partij voor de Vrijheid)","35","van Deún","H.","Henk","m","Utrecht"
"Groningen","PVV (Partij voor de Vrijheid)","36","Vermeer","T.F.","Tim","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","37","Buitelaar","O.S.J.","Olaf","m","Almere"
"Groningen","PVV (Partij voor de Vrijheid)","38","Dulfer","T.F.","Tessa","v","Papendrecht"
"Groningen","PVV (Partij voor de Vrijheid)","39","Boon","M.C.H.","Maikel","m","Bergen op Zoom"
"Groningen","PVV (Partij voor de Vrijheid)","40","Braam","E.G.T.","Ed","m","Rijswijk"
"Groningen","PVV (Partij voor de Vrijheid)","41","Ludriks","M.S.","Menno","m","Uithoorn"
"Groningen","PVV (Partij voor de Vrijheid)","42","Choenni","N.A.","Nathalie","v","Oosterhout"
"Groningen","PVV (Partij voor de Vrijheid)","43","Roks","L.A.G.","Louis","m","Etten-Leur"
"Groningen","PVV (Partij voor de Vrijheid)","44","Thiadens","F.M.","Folkert","m","Rotterdam"
"Groningen","PVV (Partij voor de Vrijheid)","45","van Hees","E.P.G.","Elias","m","'s-Gravenhage"
"Groningen","PVV (Partij voor de Vrijheid)","46","Kooman","C.V.A.","Caroline","v","Sluiskil"
"Groningen","PVV (Partij voor de Vrijheid)","47","van der Sluijs","D.J.","Dannij","m","Uitgeest"
"Groningen","PVV (Partij voor de Vrijheid)","48","van Hattem","A.W.J.A.","Alexander","m","Steensel"
"Groningen","PVV (Partij voor de Vrijheid)","49","Stuger","O.F.","Olaf","m","Bussum"
"Groningen","PVV (Partij voor de Vrijheid)","50","van Strien","G.A.","Gom","m","Arcen"
"Groningen","SP (Socialistische Partij)","1","Roemer","E.G.M.","Emile","m","Sambeek"
"Groningen","SP (Socialistische Partij)","2","Leijten","R.M.","Renske","v","Haarlem"
"Groningen","SP (Socialistische Partij)","3","Marijnissen","L.M.C.","Lillian","v","Oss"
"Groningen","SP (Socialistische Partij)","4","van Raak","A.A.G.M.","Ronald","m","Amsterdam"
"Groningen","SP (Socialistische Partij)","5","Karabulut","S.","Sadet","v","Amsterdam"
"Groningen","SP (Socialistische Partij)","6","Beckerman","S.M.","Sandra","v","Groningen"
"Groningen","SP (Socialistische Partij)","7","van Nispen","M.","Michiel","m","Breda"
"Groningen","SP (Socialistische Partij)","8","Kwint","J.P.","Peter","m","Amsterdam"
"Groningen","SP (Socialistische Partij)","9","van Kent","B.","Bart","m","'s-Gravenhage"
"Groningen","SP (Socialistische Partij)","10","Laçin","C.","Cem","m","Rotterdam"
"Groningen","SP (Socialistische Partij)","11","Futselaar","F.W.","Frank","m","Zwolle"
"Groningen","SP (Socialistische Partij)","12","Kooiman","C.J.E.","Nine","v","Utrecht"
"Groningen","SP (Socialistische Partij)","13","Hijink","H.P.M.","Maarten","m","Amersfoort"
"Groningen","SP (Socialistische Partij)","14","van Dijk","J.J.","Jasper","m","Amsterdam"
"Groningen","SP (Socialistische Partij)","15","Smaling","E.M.A.","Eric","m","Weesp"
"Groningen","SP (Socialistische Partij)","16","Alkaya","M.Ö.","Mahir","m","Amsterdam"
"Groningen","SP (Socialistische Partij)","17","van Gerven","H.P.J.","Henk","m","Oss"
"Groningen","SP (Socialistische Partij)","18","Olders","D.W.J.","Diederik","m","Rotterdam"
"Groningen","SP (Socialistische Partij)","19","Heerschop","A.H.J.","Ton","m","Tegelen"
"Groningen","SP (Socialistische Partij)","20","Meijer","A.M.","Ad","m","Amersfoort"
"Groningen","SP (Socialistische Partij)","21","Maes","S.A.A.","Bas","m","Breda"
"Groningen","SP (Socialistische Partij)","22","Meyer","R.P.E.","Ron","m","Heerlen"
"Groningen","SP (Socialistische Partij)","23","van Dijk-van Leeuwen","S.Y.","Sun Yoon","v","Rotterdam"
"Groningen","SP (Socialistische Partij)","24","de Wit","D.H.","Daniël","m","Amsterdam"
"Groningen","SP (Socialistische Partij)","25","Peterse","B.","Bert","m","Weert"
"Groningen","SP (Socialistische Partij)","26","Hoekstra","A.J.","Arnout","m","Vlaardingen"
"Groningen","SP (Socialistische Partij)","27","Boerwinkel","E.M.J.","Hans","m","Doetinchem"
"Groningen","SP (Socialistische Partij)","28","Hamerslag","P.H.","Patty","v","'s-Hertogenbosch"
"Groningen","SP (Socialistische Partij)","29","Buskoop","B.","Bram","m","Diemen"
"Groningen","SP (Socialistische Partij)","30","Temmink","N.G.J.","Nicole","v","Amsterdam"
"Groningen","SP (Socialistische Partij)","31","de Ridder","N.","Nina","v","Beverwijk"
"Groningen","SP (Socialistische Partij)","32","van Sluijs","D.","Denise","v","Emmeloord"
"Groningen","SP (Socialistische Partij)","33","Akhiat","A.","Aïsha","v","'s-Gravenhage"
"Groningen","SP (Socialistische Partij)","34","van Gemert","N.M.","Nicole","v","Utrecht"
"Groningen","SP (Socialistische Partij)","35","Dijk","J.P.","Jimmy","m","Groningen"
"Groningen","SP (Socialistische Partij)","36","de Vos","A.","Anita","v","Zonnemaire"
"Groningen","SP (Socialistische Partij)","37","Bekkering","I.H.","Ineke","v","Hoogeveen"
"Groningen","SP (Socialistische Partij)","38","Staarink","I.","Inez","v","Leiden"
"Groningen","SP (Socialistische Partij)","39","Müller","G.J.N.","Nils","m","Warnsveld"
"Groningen","SP (Socialistische Partij)","40","Feenstra","F.","Fenna","v","Sneek"
"Groningen","SP (Socialistische Partij)","41","Olierook","M.W.","Marcel","m","Wijdenes"
"Groningen","SP (Socialistische Partij)","42","ten Heuw","M.A.","Mariska","v","Hengelo (O)"
"Groningen","SP (Socialistische Partij)","43","Helmer-Englebert","R.D.","Renske","v","Nijmegen"
"Groningen","SP (Socialistische Partij)","44","Vliegenthart","A.","Arjan","m","Amsterdam"
"Groningen","SP (Socialistische Partij)","45","van Gijlswijk","L.R.","Rosita","v","Groningen"
"Groningen","SP (Socialistische Partij)","46","Schut","E.","Esther","v","Meppel"
"Groningen","SP (Socialistische Partij)","47","Rozema","H.F.","Harry","m","Appingedam"
"Groningen","SP (Socialistische Partij)","48","de Koe","H.E.","Hillie","v","Lemmer"
"Groningen","SP (Socialistische Partij)","49","Futselaar","J.E.L.","Annelies","v","Enschede"
"Groningen","SP (Socialistische Partij)","50","Poppe","R.J.L.","Remi","m","Vlaardingen"
"Groningen","CDA","1","van Haersma Buma","S.","Sybrand","m","Voorburg"
"Groningen","CDA","2","Keijzer","M.C.G.","Mona","v","Edam-Volendam"
"Groningen","CDA","3","Peters","W.P.H.J.","René","m","Oss"
"Groningen","CDA","4","Omtzigt","P.H.","Pieter","m","Enschede"
"Groningen","CDA","5","van Toorenburg","M.M.","Madeleine","v","Rosmalen"
"Groningen","CDA","6","Knops","R.W.","Raymond","m","Horst aan de Maas"
"Groningen","CDA","7","Heerma","P.E.","Pieter","m","Purmerend"
"Groningen","CDA","8","van der Molen","H.","Harry","m","Leeuwarden"
"Groningen","CDA","9","Bruins Slot","H.G.J.","Hanke","v","Utrecht"
"Groningen","CDA","10","Geurts","J.L.","Jaco","m","Voorthuizen"
"Groningen","CDA","11","Kuik","A.","Anne","v","Groningen"
"Groningen","CDA","12","van Dam","C.J.L.","Chris","m","'s-Gravenhage"
"Groningen","CDA","13","Mulder","A.H.","Agnes","v","Assen"
"Groningen","CDA","14","Rog","M.R.J.","Michel","m","Haarlem"
"Groningen","CDA","15","Amhaouch","M.","Mustafa","m","Panningen"
"Groningen","CDA","16","van Helvert","M.J.F.","Martijn","m","Sittard"
"Groningen","CDA","17","Ronnes","H.A.G.","Erik","m","Boxmeer"
"Groningen","CDA","18","van den Berg-Jansen","J.A.M.J.","Joba","v","Goes"
"Groningen","CDA","19","Slootweg","E.J.","Evert Jan","m","Bennekom"
"Groningen","CDA","20","Geluk-Poortvliet","L.W.D.","Lenny","v","Zeist"
"Groningen","CDA","21","Palland","H.M.","Hilde","v","Kampen"
"Groningen","CDA","22","de Pater-Postma","W.L.","Wytske","v","'s-Gravenhage"
"Groningen","CDA","23","Terpstra","J.H.","Julius","m","Leiden"
"Groningen","CDA","24","Steenbakkers","S.P.M.F.","Stijn","m","'s-Hertogenbosch"
"Groningen","CDA","25","van den Anker","G.P.","Gerard","m","Hedel"
"Groningen","CDA","26","Heijnen","V.L.W.A.","Vivianne","v","Maastricht"
"Groningen","CDA","27","den Bak","S.W.","Sebastiaan","m","Utrecht"
"Groningen","CDA","28","Schotman","C.J.","Chris","v","Dronten"
"Groningen","CDA","29","Erkel","P.","Arjan","m","Rotterdam"
"Groningen","CDA","30","Zwinkels","C.C.M.","Karin","v","Monster"
"Groningen","CDA","31","Hanemaaijer","E.","Esther","v","Dokkum"
"Groningen","CDA","32","Hutten","G.J.","Jan","m","Arnhem"
"Groningen","CDA","33","Kip","M.","Marischa","v","'s-Gravenhage"
"Groningen","CDA","34","van Mierlo","E.J.F.M.","Eugène","m","Almelo"
"Groningen","CDA","35","de Korte-Verhoef","M.C.","Ria","v","Baambrugge"
"Groningen","CDA","36","Bergkamp","B.","Bob","m","Breda"
"Groningen","CDA","37","de Haan","J.","Jan-Jaap","m","Leiden"
"Groningen","CDA","38","van Opstal","J.M.M.","Jochgem","m","Berlijn (DE)"
"Groningen","CDA","39","Gardeniers","B.H.M.","Barbara","v","Amsterdam"
"Groningen","CDA","40","Bal","M.","Mustafa","m","Gorinchem"
"Groningen","CDA","41","Vrugt","R.","René","m","Alphen aan den Rijn"
"Groningen","CDA","42","van Dekken","B.","Bart","m","Zuidwolde"
"Groningen","CDA","43","Vloet","W.J.M.M.","Wiljan","m","Schiedam"
"Groningen","CDA","44","von Martels","M.R.H.M.","Maurits","m","Dalfsen"
